clavy_id;titulo;editorial;fecha de publicación;lugar de publicación
61803;Los viejos cuentos españoles. Elegidos en las colecciones de Arguijo, Garay, Pinedo y el duque de Frías;Compañía Iberoamericana de Publicaciones;1930;Madrid
61804;La leyenda de Sigfrido;Anaya;1999;Madrid
61806;Troteras y danzaderas (novela);Renacimiento;1912;Madrid
61807;La juventud de Aurelio Zaldívar. Novela;Renacimiento;1914;Madrid [etc.]
61809;Cuentos de Grimm;Juventud;D.L. 2013;Barcelona
61811;Sobre casi todo;Espasa-Calpe;1928;Madrid
61812;Peter Pan y Wendy. La historia del niño que no quiso crecer;Juventud;2004;Barcelona
61813;Frivolidad (novela);Idamor Moreno;1905;Madrid
61814;Peter Pan y Wendy. La historia del niño que no quiso crecer;Juventud;2004;Barcelona
61815;Libro nuevo;(Imp. Mesón de Paños);1920;Madrid
61817;La diosa número 2. Novela;Compañía Ibero-americana de Publicaciones (CIAP);1933?;Madrid,
61819;Policéfalo y señora. Novela;Espasa-Calpe;1932;Madrid [etc.]
61821;Hombres del Norte. El porvenir de España;Victoriano Suárez;1905;Madrid
61823;La conquista del reino de Maya por el último conquistador español Pío Cid;(Libr. General de Victoriano Suárez);1910;Madrid
61826;El molino junto al Floss;Planeta;1988;Barcelona
61827;Ideario español;Biblioteca Nueva;[ca. 1920];Madrid
61830;Scaramouche;Molino;[1986];Barcelona
61831;Sangre de primavera. Poemas en prosa;Lib. de Pueyo;1908;Madrid
61832;Doce cuentos de los hermanos Grimm;Juventud;1987;Barcelona
61833;Cartas finlandesas;Victoriano Suárez;1905;Madrid
61834;Peter Pan y Wendy. La historia del niño que no quiso crecer;Juventud;1987;Barcelona
61835;Ángel Ganivet, universitario y cónsul. Páginas inéditas;Sucesores de Hernando;1920;Madrid
61837;Viviana y Merlín. Leyenda;Compañía Ibero-americana de Publicaciones (CIAP);[1930];Madrid
61839;Libro de Esther;Espasa-Calpe;1935;Madrid
61840;El arte de ser mujer. Belleza y perfección;Sociedad Española de Librería;1922?;Madrid,
