clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
60130,"Imp. Cooperativa","Tierra adentro. Sierras de Córdoba; excursiones por los departamentos Anejos Norte, Punilla, Cruz del Eje y Minas",,
60131,"Compañía Ibero-Americana de Publicaciones (CIAP)","La virgen prudente. 1ª ed.",,
60132,"V. Suárez","Chuquisaca, o La Plata perulera. Cuadros históricos, tipos y costumbres del Alto Perú (Bolivia)",,
60133,"R. Caro Raggio","Historia moderna de la América española (desde la Independencia hasta nuestros días)",,
60134,"Imp. Sopena","Loca de amor. Novela original",,
60135,"Ramon Sopena","Noche de bodas. Semana de amor",,
60136,"Espasa-Calpe","Iparraguirre, el último bardo",,
60138,"Atenea","Los frutos ácidos. Novelas",,
60139,"Biblioteca Nueva","El Divino fracaso",,
60141,"Delagrave","Trois heures au Musée du Prado. Itinéraire esthétique orné de 48 reproductions",,
60142,"Espasa-Calpe","Zumalacárregui. El caudillo romántico",,
60143,"Ediciones Caballero Audaz","Secretos y misterios del terrorismo en España (opiniones de un hombre de la calle)",,
60145,"Ediciones Caballero Audaz","Una española se casa en Roma (diario de un hombre de la calle)",,
60146,"Ediciones: Caballero Audaz","España se defiende (opiniones de un hombre de calle)",,
60147,"Caballero Audaz","Entre la dictadura y la anarquía (opiniones de un hombre de la calle)",,
60148,"Ediciones Caballero Audaz","Lo que no quiere España (opiniones de un hombre de la calle)",,
60149,"Ediciones Caballero Audaz","Nos llevan hacia el abismo (opiniones de un hombre de la calle)",,
60150,"Victoriano  Suárez","Granada la bella",,
60151,"Renacimiento","Cómo cae un trono. (La revolución en Portugal)",,
60152,"Ediciones Caballero Audaz","Las responsabilidades de Lerroux (opiniones de un hombre de la calle)",,
60153,"Ediciones Caballero Audaz","Sanjurjo, caudillo y víctima (vida heroica de un gran soldado de España). (Opiniones de un hombre de la calle)",,
60154,"Compañía Ibero-Americana de Publicaciones (CIAP)","La revolución mejicana. Sus orígenes, sus hombres, su obra",,
60155,"Imp. Helénica","De Porfirio Díaz a Carranza. Conferencias dadas en el Ateneo de Madrid en los meses de marzo y abril de 1916",,
60158,"Renacimiento","La alegria de andar. Croquis de un viaje por tierras de Puerto Rico y Cuba, Estados Unidos, Centro-América y América del Sur (1916-1920)",,
60159,"Ediciones La Nave","Hércules jugando a los dados",,
60161,"Jiménez Fraud","Cosas de España (el país de lo imprevisto)",,
60163,"Cervantes","La inevitable guerra entre el Japón y América del Norte (estudio político)",,
60164,"Garnier Hermanos","De Marsella a Tokio. Sensaciones de Egipto, la India, la China y el Japón",,
60165,"Renacimiento","Fez, la andaluza ...",,
60166,"Imp. Helénica","Un capitulo [España panglossiana] y una poesia [""Debemos ser optimistas""] de España al desnudo",,
60167,"Cía. Ibero-Americana de Publicaciones (CIAP)","El viaje a España",,
60168,"Renacimiento","A lo lejos. España vista desde América",,
60170,"Ediciones Caballero Audaz","Una República de monárquicos (opiniones de un hombre de la calle)",,
60171,"Espasa-Calpe","Castelar, hombre del Sinaí",,
60172,"Ediciones Caballero Audaz","Don Juan de España, heredero de Alfonso XIII",,
60173,"(Imp. de Juan Pueyo)","Con Dorregaray. Una correría por El Maestrazgo",,
60175,"Renacimiento","Hampa y miseria (novela)",,
60177,"La Nave","Los grandes escritores. Azorín",,
60178,"Renacimiento","Galerna. Novelas cortas",,
60179,"Edit. América; concesionaria exclusiva para la venta: Sociedad Española de Librería","La ofrenda de España a Rubén Darío",,
60183,"(Libr. de la Viuda de Rico)","Apuntes escénicos cervantinos, o sea, un estudio histórico, bibliográfico y biográfico de las comedias y entremeses escritos por Miguel de Cervantes Saavedra",,
60184,"Prensa Moderna","El poema de los ojos. Drama en dos actos, en prosa",,
60185,"Imp. de la Revista de Legislación","A todos",,
60186,"Ediciones de La Lectura","Romances",,
60188,"Juventud","La niña de Luzmela. 3ª ed.",,
60189,"Imp. A. Urbano Carrera","Malagueñas. Colección de cantares",,
60190,"Renacimiento","Maravilla. La hiel",,
