clavy_id,"nombre","recursos","género","fechas asociadas al nombre"
60896,"Ballesteros de Martos, Antonio","1","Hombre",
60898,"Popper-Lynkeus, Josef","1","Hombre","1838-1921"
60899,"Pérez de Zúñiga, Juan","17","Hombre","1860-1938"
60902,"Carlyle, Thomas","1","Hombre","1795-1881"
60911,"Cantó, Gonzalo","1","Hombre","1859-1931"
60916,"Fabela, Isidro","1","Hombre","1882-1964"
60920,"García Álvarez, Enrique","50","Hombre","1873-1931"
60921,"Blacam, Hugh de","1","Hombre","1891-1951"
60923,"Dantas, Julio","3","Hombre","1876-1962"
60925,"Abati, Joaquín",0,"Hombre",
60935,"Flaten, Nils","1","Hombre","1867-1947"
60938,"Torres-Rioseco, Arturo","1","Hombre","1897-"
60962,"Miranda, Carlos","1","Hombre","1868-"
60968,"Ugarte y Pagés, Francisco Javier","1","Hombre","1852-1919"
60972,"Bunge, Carlos Octavio","1","Hombre","1875-1918"
60974,"Godoy, Ramón de","1","Hombre","1867-1917"
60978,"Zayas, Antonio de","5","Hombre","1871-1945"
60980,"Jonson, Ben","1","Hombre","1573?-1637"
60987,"Goy de Silva, Ramón","8","Hombre","1883-1962"
60990,"Briceño, Olga","2","Mujer",
60996,"Chacón Ferral, Antonio","1","Hombre","1868-1929"
61000,"Cordero, Juan Luis","1","Hombre","1882-1955"
61004,"Balseiro, José Agustín","1","Hombre","1900-1991"
61009,"Fastenrath, Johannes","2","Hombre","1839-1908"
61014,"Dante Alighieri","2","Hombre","1265-1321"
61019,"Cortina, R. Díez de la","3",,"1859-"
61020,"Pérez Escrich, Enrique","3","Hombre","1829-1897"
61024,"Marquina, Rafael","9","Hombre","1887-1960"
61028,"Heras, Antonio","6","Hombre",
61030,"Bello, Luis","4","Hombre","1872-1935"
61033,"Clascar, Frederic","1","Hombre","1873-1919"
61037,"Serrano de Xandri, Leonor","1","Mujer","1890-1942"
61039,"Cortés, Hernán","1","Hombre","1485-1547"
61041,"Gil, Ricardo","2","Hombre","1853-1907"
61054,"Maristany, Fernando","1","Hombre",
61064,"Nadal, Alfonso","1","Hombre","1886-1943"
61066,"Morgan, Charles","3","Hombre","1894-1958"
61068,"Santainés, Simón","1","Hombre",
61070,"Bertrán, Luis Ignacio","1","Hombre",
61076,"Durán, Fernando","1","Hombre",
61078,"Vega, J.","1","Hombre",
61080,"Monguió, María Teresa","1","Mujer",
61082,"Rabinad, Antonio","1","Hombre","1927-2009"
61083,"Martínez Sagi, Ana María","3","Mujer","1907-2000"
61084,"Ferran de Pol, Lluís","1","Hombre",
61086,"Naveira, Rosa S. de","1","Mujer",
61088,"Potons, Paul L.","1","Hombre",
61093,"Rabadán, Aroa","2","Mujer",
61094,"Palenque, Marta","1","Mujer",
61095,"González Soriano, José Miguel","1","Hombre",
61102,"Correa Román, Marta","1","Mujer",
61103,"Duhamel, Georges","1","Hombre","1884-1966"
61116,"Genaille, Robert","3","Hombre",
61129,"Commeleran, Joan",0,"Hombre","1902-1992"
61137,"Serrano Plaja, Arturo","7","Hombre","1909-1979"
61138,"García Pavón, Francisco",0,"Hombre","1919-1989"
61139,"Larrea, Juan","3","Hombre","1895-1980"
61140,"Buñuel, Luis","5","Hombre","1900-1983"
61145,"Mihura, Miguel",0,"Hombre","1905-1977"
61147,"Calvo-Sotelo, Luis Emilio",0,"Hombre",
61149,"Bardem, Juan Antonio",0,"Hombre","1922-2002"
61151,"García Berlanga, Luis",0,"Hombre","1921-2010"
61153,"Wilde, Oscar","1","Hombre","1854-1900"
61155,"Dostoevskiï, Fiodor Mijaïlovich","1","Hombre","1821-1881"
61157,"Nonell Masjuan, Carmen",0,,"1915-"
61163,"Angulo, Julio","1","Hombre","1902-1967"
61167,"Castelucho, Antonio","1","Hombre","1835-1910"
61169,"Comenge, Luis","1","Hombre",
61170,"Nogales Hidalgo, Manuel",0,"Hombre",
61171,"Eriz, Pedro","1","Hombre","1851-1901"
61172,"Serrada Hierro, Jesús",0,"Hombre",
61177,"Fernández Grajal, Manuel","1","Hombre","1838-1920"
61178,"Fernández Grajal, Tomás","1","Hombre","1839-1914"
61180,"Opisso, Ricard","2","Hombre","1880-1966"
61185,"Marrero Morales, Miguel",0,"Hombre",
61186,"Chejov, Anton Pavlovich","2","Hombre","1860-1904"
61197,"Lawrence, T. E.","1",,"1888-1935"
61200,"Caula, Antonio de","1","Hombre","1847-?"
